common_name,genus,species
Cassin's Finch,Haemorhous,cassinii
Limpkin,Aramus,guarauna
Roadside Hawk,Rupornis,magnirostris
Blue Jay,Cyanocitta,cristata
Steller's Jay,Cyanocitta,stelleri
Grey Crowned Crane,Balearica,regulorum
Scarlet Flycatcher,Pyrocephalus,rubinus
American Avocet,Recurvirostra,americana
Kori Bustard,Ardeotis,kori
Yellow-billed Magpie,Pica,nuttalli
Canada Jay,Perisoreus,canadensis
Sandhill Crane,Antigone,canadensis
Northern Waterthrush,Parkesia,noveboracensis
Great Blue Heron,Ardea,herodias
Sora,Porzana,carolina
Mexican Duck,Anas,platyrhynchos
Grey Wagtail,Motacilla,cinerea
Western Flycatcher,Empidonax,difficilis
Least Flycatcher,Empidonax,minimus
Buff-breasted Flycatcher,Empidonax,fulvifrons
Willow Flycatcher,Empidonax,traillii
Hammond's Flycatcher,Empidonax,hammondii
Western Flycatcher,Empidonax,occidentalis
Virginia Rail,Rallus,limicola
Common Crane,Grus,grus
Boat-tailed Grackle,Quiscalus,major
Barnacle Goose,Branta,leucopsis
Yucatan Jay,Cyanocorax,yucatanicus
Inca Jay,Cyanocorax,yncas
Wilson's Storm Petrel,Oceanites,oceanicus
Greater Antillean Grackle,Quiscalus,niger
Brown Jay,Psilorhinus,morio
Boat-billed Flycatcher,Megarynchus,pitangua
Dusky Moorhen,Gallinula,tenebrosa
Chicken,Gallus,gallus
Helmeted Guinea Fowl,Numida,meleagris
Dark-eyed Junco,Junco,hyemalis
Cassin's Kingbird,Tyrannus,vociferans
Eastern Kingbird,Tyrannus,tyrannus
Scissor-tailed Flycatcher,Tyrannus,forficatus
Thick-billed Kingbird,Tyrannus,crassirostris
Western Kingbird,Tyrannus,verticalis
Fork-tailed Flycatcher,Tyrannus,savana
Weka,Gallirallus,australis
White-throated Magpie-jay,Calocitta,formosa
Black-throated Magpie-jay,Calocitta,colliei
American Coot,Fulica,americana
Rose-throated Becard,Pachyramphus,aglaiae
Rough-legged Buzzard,Buteo,lagopus
Black Swan,Cygnus,atratus
North Island Saddleback,Philesturnus,rufusater
Great Black-backed Gull,Larus,marinus
Great Kiskadee,Pitangus,sulphuratus
American Black Duck,Anas,rubripes
New Zealand Pipit,Anthus,novaeseelandiae
Eastern Phoebe,Sayornis,phoebe
Black Phoebe,Sayornis,nigricans
Masked Tityra,Tityra,semifasciata
Lineated Woodpecker,Dryocopus,lineatus
Australasian Swamphen,Porphyrio,melanotus
White-cheeked Pintail,Anas,bahamensis
White-faced Heron,Egretta,novaehollandiae
Green-winged Teal,Anas,crecca
Chukar Partridge,Alectoris,chukar
Least Grebe,Tachybaptus,dominicus
Bell's Sparrow,Artemisiospiza,belli
Red Junglefowl,Gallus,gallus
Pyrrhuloxia,Cardinalis,sinuatus
